gene_symbol,log2FoldChange_all_24hrs_genes,log2FoldChange_all_48hrs_genes,log2FoldChange_all_72hrs_genes,log2FoldChange_all_96hrs_genes,log2FoldChange_all_CDK11i_genes
IFNAR1,0.25593690657161855,0.14152433142796048,0.7368022277479837,0.3427000186016184,-0.07847397903329292
IFNAR2,-1.1299701209636828,-0.5896584755249609,-0.49461573652527907,-0.20369564175540048,-1.3792152413302918
IFNGR1,0.11574109626798511,-0.02962229549064468,0.4008298222776052,0.06139983994145699,0.09178575007990616
IFNGR2,0.011524594039668823,0.0418884178494592,-0.032217173920986095,-0.11595416035719076,0.2501880364505242
IFNLR1,0.12874920329862122,0.017546607442391414,-0.2680745602580852,0.15608936092332915,0.8385937203164361
IFRD1,0.05508815481674947,0.3553652916022431,-0.32188195225422,0.022694851546430247,0.6213029176065384
IFRD2,0.27919717572061603,-0.20453143927647052,-0.2771383517497853,-0.5084150194170305,-0.7299553841984616
IFT122,0.21003378468972608,0.2506645716774155,0.08730734367182356,-0.23768283381201805,-1.254910461305012
IFT140,-2.172815061652983,-4.017970872225911,-2.532952967999317,-1.9996992543508418,-1.2414371972562224
IFT172,0.35577073403017423,1.120775778245537,0.8773974410344485,0.48798740562820353,-0.2308564460924865
IFT20,-0.07768465089985815,-0.0977775543498456,-0.1839507491196649,0.2780358956538557,-0.30538670216805014
IFT22,-0.15042399835332496,-0.5596335889650081,-0.25747589337535454,-1.114437817360746,-0.8845975154443574
IFT27,-0.623717431021685,-0.4940735432875687,-0.21591260061387207,0.02787630426484089,-1.668677277923317
IFT43,-0.5911212483746955,-0.37750741038789504,-0.33873455659035046,-0.6294067648532234,-1.1902585409187223
IFT46,-0.32902889121593965,-0.10178021299641035,-0.14400057487105242,-0.13227324788953937,-0.2660005119452296
IFT52,-0.15345590130158238,-0.12407081978232136,0.0042712535475675105,-0.18667285179698717,-0.021992081096044825
IFT57,-0.1250694651634166,0.15249838377893432,0.006535542978029319,0.05426124192618413,-0.18003513205422128
IFT74,-0.2649106010178907,-0.17208311611525062,-0.05198932866434913,-0.38051887819078684,-0.6757706043697481
IFT80,-0.20660119147875208,-0.16593732848921044,-0.2009697165732603,-0.34849999865196146,-0.40788965717392245
IFT81,-0.7379392434569,-1.5330255741577514,-1.3885413004596097,-1.0269049115765296,-0.8725761195310746
IFT88,-0.6852759534728887,-0.39706322094214375,-0.2296775951074811,-0.7989485655309468,-0.43195317433601094
IFTAP,-0.13552319880522504,0.06781597321239308,0.24500056858500474,0.2723081014511346,-1.018076177982055
IGBP1,0.3570477107980047,0.752104210133594,0.8808216151157459,0.8763861839612013,0.2177828047729534
IGDCC3,0.2206530755799474,-0.012857592675424434,-0.9968223399305667,-0.49172589602583444,-0.17485815310093303
IGF1,-0.14388316447215518,-0.14859180550113654,-0.4169920454606815,-0.4978265449674621,-0.303669789822808
IGF1R,0.3295023916262939,0.9813952496234695,0.8672521963234839,0.6845599061868118,-0.07849239441778783
IGF2,-0.29278007099839576,-0.2129898592060497,-0.4020702650782006,-0.06576074280021968,0.12286567592662898
IGF2BP1,-0.010274095459290372,0.2974112702449856,-0.10501878334401435,-0.25246066035913334,0.21559561392534307
IGF2BP2,0.3530632900775969,0.370366846304848,-0.3350216180972751,0.3387355700166748,-0.0964186546534276
IGF2BP3,-0.14803853262850675,-0.2257519697605201,-0.21017249689410555,-0.5272513115571474,-0.2746588815896148
IGF2R,0.3309454739603847,0.5635547710388032,0.4040698421520944,0.4455419889904094,0.677930479308406
IGFBP1,-0.034221322235576175,-0.1039905178745996,0.2447499560006663,0.3171756495535591,NA
IGFBP2,0.31177967350134944,-0.28361200740372,-0.589294337398069,-0.3540967211404237,-0.4158893423880081
IGFBP3,-0.5336601364320719,-0.9311764354997871,-0.4211255552807357,-0.8829360323679211,-0.5730055782489517
IGFBP4,0.09898476283491081,0.9355236332935671,1.0244471175667287,0.3807785741557159,-0.8757226164076997
IGFBP6,0.45925440532411366,1.7626320472751955,2.2245017303996573,1.9697048923410412,-0.3235595172988843
IGFBP7,0.01625260252044084,0.08336212591858352,1.5988946427760968,1.7092338693886597,-0.3266961813988343
IGFBPL1,-0.005275522697468046,-0.3975155550878526,-1.0682166030565898,-0.5355689118903142,-0.48343871306942593
IGFLR1,-1.0019245036491702,-1.33597543623129,-1.1233655786149097,-1.5574474570570576,-1.3145869807741846
IGFN1,0.8963495630586618,2.463963334718404,3.56907302085751,2.706613933315569,0.08469631904415699
IGHMBP2,-0.08454697946821413,-0.19635873523180603,0.008269422482875365,0.03796505295756655,1.5309154301911303
IGIP,-0.47209943378517866,0.03281055571068365,0.12813929565186932,0.41084075808974657,-0.1896830973385177
IGSF1,-0.11542372536567963,NA,NA,NA,-0.15503567982078376
IGSF3,0.21082690756351782,-0.05765507327079208,-0.3807418796365408,-0.35742001346553615,-1.1823281162098513
IGSF8,-0.03356400470362495,0.4143249562605376,0.01949105615059904,0.5314035405145167,-0.34287127378682153
IGSF9B,-0.08773366862404357,0.0885998267085458,0.24883823008960615,0.20610486358414623,0.11720163140269989
IK,0.07044337500848778,0.5335163318822767,0.6083850574693384,0.5120554983367295,0.5802261921161826
IKBIP,-0.29474677466581234,-0.3157734894376854,-0.5217091056852269,-0.30191725002630926,-0.43520587275953243
IKBKB,0.1311032751841321,0.12045250357680246,0.33960410780189404,0.4243246279334322,0.1340980157333895
IKBKE,0.6944164338366267,0.1920408598536129,-0.07760335627972956,-0.30105217185983235,-0.4345115453506079
IKBKG,0.07897103143900323,0.23939704609448112,0.6661340231634886,0.6026718638616311,0.5073492933779167
IKZF2,-0.011537258717975,0.2635688748917476,-0.3155306125095751,-0.07415608578465613,-0.20205468361755305
IKZF4,0.12984348899167686,0.907389027691945,0.8481564576768807,0.3647881650165113,0.07113383700412387
IKZF5,0.10808383095283726,0.2707379200364383,0.016775620107654526,0.0593266629371715,0.23384763062497602
IL10RB,-0.35239081762524493,-0.06167295664376715,0.08235543497868189,-0.14874060454400959,-1.4511362488273991
IL11,-0.061262767715267535,-0.1832336953650792,-0.31377766573540494,0.3846011223093395,0.9878733479024412
IL11RA,0.6065438001023116,1.4974894493624096,1.9750837196661197,1.9305581119145525,-0.5614974734299907
IL12A,0.16571423316607212,-1.4537021290020091,-0.7316808772734655,-0.17320804134087203,1.352300201695353
IL13RA1,-0.49421163280492403,-0.0024455544351436403,0.14054652188149178,0.4029131815198445,-0.385901345202047
IL13RA2,0.05041755190666957,-0.030834379909011014,0.29330181483552437,1.0510916627956768,0.2042183526383632
IL15,0.14861169644402047,0.43211714957248076,-0.09610406120044049,-0.05147480295799327,-0.6132601527757707
IL15RA,-0.2173389871222347,-0.09725722986989832,0.06923335813361181,0.4936054340079144,-0.41480052974897025
IL17D,0.12650550738733438,0.24710516229885382,0.174490690260095,0.565183863505867,NA
IL17RA,-0.07114678314362241,0.5655132266743482,0.89359740312465,0.6250297575021837,-0.07375133062472311
IL17RB,-0.0019797191060650456,-0.27178961220437664,-0.7561412709648809,-1.491583816027159,0.21789789290222622
IL17RC,0.08861983004964578,0.1170293382109397,0.2138566303926667,0.2788776290800632,-0.7244691851692763
IL17RD,-0.02725151016453356,0.2422862200410291,0.1242095103012016,0.3526579319887816,-0.9347936417589705
IL17RE,0.6740723814017957,1.4579820069082754,1.7618152100895326,2.2866231354637496,0.31061674096286107
IL18,1.3735032939629594,2.415788522751964,2.0559264197355818,2.5133350693688596,-0.19128315573461532
IL18BP,0.05413169576034036,0.5574162051660707,0.3875934451804727,0.2640413892832959,0.15496780223241768
IL18R1,-0.00196432614485994,-0.11915584414029753,-0.771597756781461,-1.4580151954550133,-0.716036393767326
IL1A,0.5139198649633384,0.7853581915099085,0.12161398928414609,0.5374875998860458,0.5421754380509909
IL1B,0.2767861265648109,1.595254193233432,2.893459308382357,1.6373272836931707,0.09099726501938524
IL1RAP,-0.03169546657306662,0.09898460399941886,-0.0140586774730591,0.15691433513763983,0.5739385911320424
IL1RAPL1,0.8644254236648996,1.1428057924251231,1.1635300904800134,1.8391150631878013,0.9024894534331994
IL20RB,-0.14261348825821854,0.15197281510218208,0.3268929295418815,0.5598989944520468,0.6460960072965485
IL23A,-0.15909622470460108,-0.03454337670553996,-0.372527231663597,-0.1576911811225591,0.14911718278693467
IL27RA,-0.12580329516525054,0.3746099802880138,0.7801276888577173,0.6469441393168741,-0.21188502449399418
IL2RG,-0.1624953776264123,0.10204889872473404,-0.17040658491133717,-0.09003065679227497,-0.2106736782820344
IL31RA,0.4954551958173386,1.2879217501286055,0.6469535851374123,0.9025675291983529,-0.23718653837173423
IL32,0.33887116110427645,0.0850013060832159,-0.09070248811280433,-0.016883138861026634,-0.12974468766721298
IL4R,-0.04103932833488983,0.31683190567512587,1.127737184205783,0.14086195825281256,0.34180405741567405
IL6R,-0.12461445312620116,0.32943061763674814,0.8753977300156868,0.6555108008334654,0.24154116045977472
IL6ST,0.2706705601114549,0.30697420212384574,0.4661352682913687,0.13072928464966418,0.3520173558126976
IL7,0.014304909544657239,0.02603874915536409,-0.062065062588780355,-0.13104443949018885,-0.5378794798015532
IL7R,0.3551041947165462,1.1260489729003558,0.35890177830059233,1.551900315886218,1.8896311417649891
ILDR2,8.269990854495016e-4,0.45021733942688397,0.8459418559234857,1.0500808957948695,0.039586009694113175
ILF2,0.2127171860333492,-0.29945090571749156,-0.5265261420485885,-0.3501746026525055,0.223175598573084
ILF3,0.06274869116331167,-0.19948725661099467,-0.6840797145481106,-0.6491120789849977,0.12508580493625301
ILF3-DT,-1.2372996852677802,-0.425447646664548,-0.3837244266789734,-0.3414499442912512,-0.6675263182121517
